ClienteID,NombreCliente,Edad,Ciudad,ProductoID,NombreProducto,CategoríaProducto,FechaCompra,Cantidad,PrecioUnitario
C00001,Mtro. Modesto Hurtado,31,Nueva Paraguay,P485,Magnesio,Suplemento,04/05/2025,5,70.39
C00002,Hugo Marisela Trujillo,76,San Luis Manuel los bajos,P398,Cetirizina,Antihistamínico,18/12/2024,1,116.89
C00003,Rosa Eugenia Portillo,18,San Aida los altos,P353,Diclofenaco,Analgésico,21/06/2024,2,152.11
C00004,Alfredo Regalado,42,San Luis Manuel los bajos,P349,Fexofenadina,Antihistamínico,21/08/2024,5,37.37
C00005,Beatriz Irene Toro Serrano,35,San Cristian los altos,P284,Ranitidina,Antiácido,10/07/2024,3,66.73
C00006,Berta Marcela Quintanilla,85,Vieja República Federal Democrática de Nepal,P470,Diclofenaco,Analgésico,06/07/2024,4,46.7
C00007,Sr(a). Germán Negrón,21,San Yuridia de la Montaña,P372,Ibuprofeno,Analgésico,19/03/2025,4,18.47
C00008,Asunción Hernán Lozada,33,San Timoteo los bajos,P192,Desloratadina,Antihistamínico,18/08/2024,5,130.58
C00009,Ing. Luis Manuel Padilla,51,San Karina los altos,P158,Azitromicina,Antibiótico,19/05/2025,3,17.79
C00010,Emilia Tórrez Pantoja,18,San Yuridia de la Montaña,P435,Pantoprazol,Antiácido,05/06/2024,2,64.92
C00011,Sr(a). Olivia Valenzuela,49,San Flavio los altos,P142,Vitamina D,Suplemento,23/05/2025,4,166.5
C00012,Graciela Valladares Berríos,45,Nueva Israel,P406,Glibenclamida,Antidiabético,14/11/2024,2,165.98
C00013,Amador Hugo Bermúdez Loya,34,Nueva Mauricio,P392,Amoxicilina,Antibiótico,14/12/2024,5,43.43
C00014,Celia Meléndez,40,San Fabiola los altos,P343,Glibenclamida,Antidiabético,08/05/2025,4,18.75
C00015,Dalia Mondragón Aragón,84,San Leonardo los altos,P296,Ranitidina,Antiácido,05/01/2025,3,58.6
C00016,María del Carmen Norma Samaniego Ríos,62,San José Manuél los altos,P454,Omeprazol,Antiácido,13/09/2024,1,122.87
C00017,José María Benavides Escobar,39,Nueva República Dominicana,P176,Naproxeno,Analgésico,18/04/2025,1,91.97
C00018,Mtro. Vicente Dávila,75,San Javier los altos,P389,Fexofenadina,Antihistamínico,28/12/2024,5,178.45
C00019,Mariano Delgado,33,Nueva Nueva Zelandia,P444,Omeprazol,Antiácido,30/05/2025,4,119.65
